Year,Rank,G,G Home,W,L,LGWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IP,HA,HRA,BBA,SOA,E,DP,FP,Name,Park
2017,5,162,8,64,98,N,N,639,5551,1382,290,28,128,467,1204,76,34,3,5,776,726,4.5,3,5,32,4356,1515,182,496,1234,87,127,0.985,San Francisco Giants,AT&T Park
2016,2,162,8,87,75,N,N,715,5565,1437,280,54,130,572,1107,79,36,4,4,631,593,3.65,10,11,43,4381,1334,158,439,1309,72,136,0.988,San Francisco Giants,AT&T Park
2015,2,162,8,84,78,N,N,696,5565,1486,288,39,136,457,1159,93,36,4,3,627,597,3.72,7,18,41,4333,1344,155,431,1165,78,145,0.987,San Francisco Giants,AT&T Park
2014,2,162,8,88,74,Y,Y,665,5523,1407,257,42,132,427,1245,56,27,4,4,614,564,3.5,8,12,46,4347,1305,133,389,1211,100,155,0.984,San Francisco Giants,AT&T Park
2013,4,162,8,76,86,N,N,629,5552,1446,280,35,107,469,1078,67,26,3,4,691,643,4,2,13,41,4342,1380,145,521,1256,107,128,0.982,San Francisco Giants,AT&T Park
2012,1,162,8,94,68,Y,Y,718,5558,1495,287,57,103,483,1097,118,39,2,6,649,593,3.68,5,14,53,4353,1361,142,489,1237,115,134,0.981,San Francisco Giants,AT&T Park
2011,2,162,8,86,76,N,N,570,5486,1327,282,24,121,448,1122,85,51,5,4,578,522,3.2,3,12,52,4404,1260,96,559,1316,104,127,0.983,San Francisco Giants,AT&T Park
2010,1,162,8,92,70,Y,Y,697,5488,1411,284,30,162,487,1099,55,32,5,4,583,546,3.36,6,17,57,4383,1279,134,578,1331,73,110,0.988,San Francisco Giants,AT&T Park
2009,3,162,8,88,74,N,N,657,5493,1411,275,43,122,392,1158,78,28,5,5,611,571,3.55,11,18,41,4338,1268,140,584,1302,88,138,0.985,San Francisco Giants,AT&T Park
2008,4,162,8,72,90,N,N,640,5543,1452,311,37,94,452,1044,108,46,4,4,759,701,4.38,4,12,41,4326,1416,147,652,1240,96,129,0.983,San Francisco Giants,AT&T Park
2007,5,162,8,71,91,N,N,683,5538,1407,267,37,131,532,907,119,33,3,3,720,677,4.19,5,10,37,4361,1442,133,593,1057,88,148,0.986,San Francisco Giants,AT&T Park
2006,3,161,8,76,85,N,N,746,5472,1418,297,52,163,494,891,58,25,5,3,790,735,4.63,7,9,37,4289,1422,153,584,992,91,132,0.985,San Francisco Giants,AT&T Park
2005,3,162,8,75,87,N,N,649,5462,1427,299,26,128,431,901,71,35,4,4,745,695,4.33,4,8,46,4333,1456,151,592,972,90,146,0.985,San Francisco Giants,SBC Park
2004,2,162,8,91,71,N,N,850,5546,1500,314,33,183,705,874,43,23,7,5,770,695,4.29,8,8,46,4371,1481,161,548,1020,101,153,0.984,San Francisco Giants,SBC Park
2003,1,161,8,100,61,N,N,755,5456,1440,281,29,180,593,980,53,37,4,3,638,595,3.73,7,10,43,4312,1349,136,546,1006,80,163,0.987,San Francisco Giants,PacBell Park
2002,2,162,8,95,66,Y,N,783,5497,1465,300,35,198,616,961,74,21,6,5,616,566,3.54,10,13,43,4312,1349,116,523,992,90,166,0.985,San Francisco Giants,PacBell Park
2001,2,162,8,90,72,N,N,799,5612,1493,304,40,235,625,1090,57,42,5,5,748,680,4.18,3,8,47,4390,1437,145,579,1080,118,170,0.981,San Francisco Giants,PacBell Park
2000,1,162,8,97,65,N,N,925,5519,1535,304,44,226,709,1032,79,39,5,6,747,675,4.21,9,15,47,4333,1452,151,623,1076,93,173,0.985,San Francisco Giants,PacBell Park
1999,2,162,8,86,76,N,N,872,5563,1507,307,18,188,696,1028,109,56,6,4,831,762,4.71,6,3,42,4369,1486,194,655,1076,105,155,0.983,San Francisco Giants,3Com Park
1998,2,163,8,89,74,N,N,845,5628,1540,292,26,161,678,1040,102,51,4,5,739,686,4.18,6,6,44,4431,1457,171,562,1089,101,157,0.984,San Francisco Giants,3Com Park
1997,1,162,8,90,72,N,N,784,5485,1415,266,37,172,642,1120,121,49,4,5,793,706,4.39,5,9,45,4338,1494,160,578,1044,125,157,0.98,San Francisco Giants,3Com Park
